IRN,Funding Plan,District,County,FY21,FY22,FY23,FY24,FY25,FY27
48116,Fair School Funding Plan,Avon Local,Lorain,6368782.241,5760314.416,5943576.349,7205393.77,6276630.41,6910964.235
48116,Ohio House Proposal,Avon Local,Lorain,6368782.241,5760314.416,5943576.349,7205393.77,6276630.41,6355737.505
46706,Fair School Funding Plan,Ayersville Local,Defiance,3956652.949,4248311.256,4365013.615,4866103.233,5046915.75,7612590.733
46706,Ohio House Proposal,Ayersville Local,Defiance,3956652.949,4248311.256,4365013.615,4866103.233,5046915.75,5447768.244
43539,Fair School Funding Plan,Barberton City,Summit,33629725.75,31332696.76,30275764.62,31007040.12,29713353.56,40031676.29
43539,Ohio House Proposal,Barberton City,Summit,33629725.75,31332696.76,30275764.62,31007040.12,29713353.56,29315994.85
45203,Fair School Funding Plan,Barnesville Exempted Village,Belmont,8016241.134,7657081.213,7361783.165,7712744.756,8723155.15,12836695.26
45203,Ohio House Proposal,Barnesville Exempted Village,Belmont,8016241.134,7657081.213,7361783.165,7712744.756,8723155.15,9348633.781
46300,Fair School Funding Plan,Batavia Local,Clermont,13339650.62,12843135.57,13694910.92,15143737.28,15578452.53,23890519.94
46300,Ohio House Proposal,Batavia Local,Clermont,13339650.62,12843135.57,13694910.92,15143737.28,15578452.53,16357912.85
45765,Fair School Funding Plan,Bath Local,Allen,6012350.197,6315649.001,6091715.141,6445676.18,6573012.72,10800150.87
45765,Ohio House Proposal,Bath Local,Allen,6012350.197,6315649.001,6091715.141,6445676.18,6573012.72,6840786.61
43547,Fair School Funding Plan,Bay Village City,Cuyahoga,4730192.345,4617158.135,4471506.42,4403305.188,4479667.69,4660454.175
43547,Ohio House Proposal,Bay Village City,Cuyahoga,4730192.345,4617158.135,4471506.42,4403305.188,4479667.69,4509157.647
43554,Fair School Funding Plan,Beachwood City,Cuyahoga,867754.3133,1666592.343,1418825.054,2017129.752,2525002.73,4165871.345
43554,Ohio House Proposal,Beachwood City,Cuyahoga,867754.3133,1666592.343,1418825.054,2017129.752,2525002.73,3057551.837
46425,Fair School Funding Plan,Beaver Local,Columbiana,11447636.26,10662039.61,10316257.24,10031289.97,9690903,11930064.39
46425,Ohio House Proposal,Beaver Local,Columbiana,11447636.26,10662039.61,10316257.24,10031289.97,9690903,9595419.065
47241,Fair School Funding Plan,Beavercreek City,Greene,3767095.894,9631388.202,10114203.33,12969787.6,13205447.11,14533511.07
47241,Ohio House Proposal,Beavercreek City,Greene,3767095.894,9631388.202,10114203.33,12969787.6,13205447.11,13333943.07
43562,Fair School Funding Plan,Bedford City,Cuyahoga,7030983.752,8100278.385,8138961.642,9695375.949,11962536.31,26156980.7
43562,Ohio House Proposal,Bedford City,Cuyahoga,7030983.752,8100278.385,8138961.642,9695375.949,11962536.31,15382315.25
43570,Fair School Funding Plan,Bellaire Local,Belmont,10069650.62,9320759.796,8992616.282,8686308.791,8501656.31,9132115.469
43570,Ohio House Proposal,Bellaire Local,Belmont,10069650.62,9320759.796,8992616.282,8686308.791,8501656.31,8790534.129
43588,Fair School Funding Plan,Bellefontaine City,Logan,16237618.92,15065994.03,14520196.63,15281924.2,15056790.32,22079839.84
43588,Ohio House Proposal,Bellefontaine City,Logan,16237618.92,15065994.03,14520196.63,15281924.2,15056790.32,14976316.88
43596,Fair School Funding Plan,Bellevue City,Huron,9636763.203,9411152.541,9031638.736,9624239.77,9088397.32,12350557.07
43596,Ohio House Proposal,Bellevue City,Huron,9636763.203,9411152.541,9031638.736,9624239.77,9088397.32,9001098.355
43604,Fair School Funding Plan,Belpre City,Washington,3664180.182,3813529.446,3785157.714,4439758.767,4532390.25,7799161.744
43604,Ohio House Proposal,Belpre City,Washington,3664180.182,3813529.446,3785157.714,4439758.767,4532390.25,4816581.599
48074,Fair School Funding Plan,Benjamin Logan Local,Logan,16707161.73,7337388.542,7067943.139,6960028.209,7150482.83,7493527.346
