IRN,Funding Plan,District,County,FY21,FY22,FY23,FY24,FY25,FY27
64964,Ohio House Proposal,College Corner Local,Preble,37141880.54,1044736.598,1394277.109,1779642.447,1915681.58,2405626.752
46516,Fair School Funding Plan,Colonel Crawford Local,Crawford,6060761.236,6053663.305,5634465.679,6197127.032,6558617.51,9592180.358
46516,Ohio House Proposal,Colonel Crawford Local,Crawford,6060761.236,6053663.305,5634465.679,6197127.032,6558617.51,6722659.364
48140,Ohio House Proposal,Columbia Local,Lorain,16653280.72,2599008.588,2509549.615,2482730.734,2535018.62,2728763.297
48140,Fair School Funding Plan,Columbia Local,Lorain,16653280.72,2599008.588,2509549.615,2482730.734,2535018.62,2641173.153
45328,Fair School Funding Plan,Columbiana Exempted Village,Columbiana,4178437.993,4074162.583,3803755.293,3870478.962,3573441.1,3775845.561
45328,Ohio House Proposal,Columbiana Exempted Village,Columbiana,4178437.993,4074162.583,3803755.293,3870478.962,3573441.1,3552319.606
43802,Fair School Funding Plan,Columbus City Schools District,Franklin,181529379.6,175232919.2,182155878.4,193836224.3,179530994.5,199337763.1
43802,Ohio House Proposal,Columbus City Schools District,Franklin,181529379.6,175232919.2,182155878.4,193836224.3,179530994.5,187130078
49312,Fair School Funding Plan,Columbus Grove Local,Putnam,5334325.211,5250820.508,5086672.708,5388769.354,4986062.38,6157407.649
49312,Ohio House Proposal,Columbus Grove Local,Putnam,5334325.211,5250820.508,5086672.708,5388769.354,4986062.38,4928035.998
43810,Fair School Funding Plan,Conneaut Area City,Ashtabula,13257986.18,12460909.85,12003458.4,12565879.41,13261171.98,19989249.84
43810,Ohio House Proposal,Conneaut Area City,Ashtabula,13257986.18,12460909.85,12003458.4,12565879.41,13261171.98,13752493.75
47548,Ohio House Proposal,Conotton Valley Union Local,Harrison,4109393.128,3002614.645,2840336.804,2738595.969,2668740.97,2688246.058
47548,Fair School Funding Plan,Conotton Valley Union Local,Harrison,4109393.128,3002614.645,2840336.804,2738595.969,2668740.97,2620745.874
49320,Fair School Funding Plan,Continental Local,Putnam,5651160.853,3333712.949,3279394.328,3910058.707,4116644.94,6151069.167
49320,Ohio House Proposal,Continental Local,Putnam,5651160.853,3333712.949,3279394.328,3910058.707,4116644.94,4376293.439
49981,Fair School Funding Plan,Copley-Fairlawn City,Summit,2934223.458,1876525.811,1921295.592,2935692.89,3150378.7,5318888.948
49981,Ohio House Proposal,Copley-Fairlawn City,Summit,2934223.458,1876525.811,1921295.592,2935692.89,3150378.7,3796725.299
47431,Fair School Funding Plan,Cory-Rawson Local,Hancock,3364450.284,1886382.008,1954733.316,2243989.105,2350738.98,4539354.22
47431,Ohio House Proposal,Cory-Rawson Local,Hancock,3364450.284,1886382.008,1954733.316,2243989.105,2350738.98,2701198.973
43828,Fair School Funding Plan,Coshocton City,Coshocton,12907276.71,12113195.88,12948830.47,13760142.82,14081002.56,22846658.73
43828,Ohio House Proposal,Coshocton City,Coshocton,12907276.71,12113195.88,12948830.47,13760142.82,14081002.56,14962735.01
49999,Fair School Funding Plan,Coventry Local,Summit,1645074.049,7113497.192,6669799.157,6491221.512,6437767.86,6512547.018
49999,Ohio House Proposal,Coventry Local,Summit,1645074.049,7113497.192,6669799.157,6491221.512,6437767.86,6387624.513
45336,Fair School Funding Plan,Covington Exempted Village,Miami,5098650.771,4836365.83,4903999.077,5333590.924,5322034,8595950.682
45336,Ohio House Proposal,Covington Exempted Village,Miami,5098650.771,4836365.83,4903999.077,5333590.924,5322034,5991648.176
45344,Fair School Funding Plan,Crestline Exempted Village,Crawford,6230979.803,5790309.856,5917341.926,6310636.73,6351647.91,8596638.68
45344,Ohio House Proposal,Crestline Exempted Village,Crawford,6230979.803,5790309.856,5917341.926,6310636.73,6351647.91,6528277.838
46433,Fair School Funding Plan,Crestview Local,Columbiana,8650750.314,8441519.098,7854860.714,8241844.463,8095311.14,10116417.32
50351,Fair School Funding Plan,Crestview Local,Van Wert,10312835.26,5282606.793,4841721.454,5559714.551,6113978.51,9805386
46433,Ohio House Proposal,Crestview Local,Columbiana,8650750.314,8441519.098,7854860.714,8241844.463,8095311.14,8111001.158
49429,Ohio House Proposal,Crestview Local,Richland,10205626.07,7870258.549,7495562.475,7203387.449,7020256.88,6932126.539
49429,Fair School Funding Plan,Crestview Local,Richland,10205626.07,7870258.549,7495562.475,7203387.449,7020256.88,6890930.686
50351,Ohio House Proposal,Crestview Local,Van Wert,10312835.26,5282606.793,4841721.454,5559714.551,6113978.51,6262750.743
49189,Fair School Funding Plan,Crestwood Local,Portage,5244626.357,10489585.84,10083458.46,9831211.689,9688083.37,9795466.034
49189,Ohio House Proposal,Crestwood Local,Portage,5244626.357,10489585.84,10083458.46,9831211.689,9688083.37,9570092.749
45351,Fair School Funding Plan,Crooksville Exempted Village,Perry,11531672.26,10715500.49,10257942.94,10402935.38,10625038.61,15932758.07
45351,Ohio House Proposal,Crooksville Exempted Village,Perry,11531672.26,10715500.49,10257942.94,10402935.38,10625038.61,11132512.14
43836,Fair School Funding Plan,Cuyahoga Falls City,Summit,17573022.27,17385537.15,16186416.38,15689341.62,15004682.59,15534912.65
43836,Ohio House Proposal,Cuyahoga Falls City,Summit,17573022.27,17385537.15,16186416.38,15689341.62,15004682.59,14912620.57
46557,Fair School Funding Plan,Cuyahoga Heights Local,Cuyahoga,496897.1933,551998.6511,566167.2223,855402.6713,874870.74,1545607.407
46557,Ohio House Proposal,Cuyahoga Heights Local,Cuyahoga,496897.1933,551998.6511,566167.2223,855402.6713,874870.74,1088697.507
50542,Fair School Funding Plan,Dalton Local,Wayne,6049559.809,4276095.206,4105730.714,4146407.782,3987418.57,4791163.947
50542,Ohio House Proposal,Dalton Local,Wayne,6049559.809,4276095.206,4105730.714,4146407.782,3987418.57,3956128.553
48934,Fair School Funding Plan,Danbury Local,Ottawa,4681861.054,1040531.413,993682.716,935830.6701,916513.76,1023345.035
48934,Ohio House Proposal,Danbury Local,Ottawa,4681861.054,1040531.413,993682.716,935830.6701,916513.76,922935.481
47837,Fair School Funding Plan,Danville Local,Knox,6371632.773,5099703.911,5176221.224,5637207.085,5593127.57,7725129.472
47837,Ohio House Proposal,Danville Local,Knox,6371632.773,5099703.911,5176221.224,5637207.085,5593127.57,5677803.849
47928,Fair School Funding Plan,Dawson-Bryant Local,Lawrence,3980717.9,13026372.58,12887761.48,13088115.06,12251848.27,16061738.08
47928,Ohio House Proposal,Dawson-Bryant Local,Lawrence,3980717.9,13026372.58,12887761.48,13088115.06,12251848.27,12159373.09
43844,Fair School Funding Plan,Dayton City,Montgomery,132725071.9,122767536.6,119231564.4,124959901.4,127441303.3,189923513.8
43844,Ohio House Proposal,Dayton City,Montgomery,132725071.9,122767536.6,119231564.4,124959901.4,127441303.3,128671682.3
43851,Ohio House Proposal,Deer Park Community City,Hamilton,3567416.536,3462225.021,3358932.016,3284008.216,3204988.4,3197240.879
43851,Fair School Funding Plan,Deer Park Community City,Hamilton,3567416.536,3462225.021,3358932.016,3284008.216,3204988.4,3145946.55
43869,Fair School Funding Plan,Defiance City,Defiance,18222756.5,17080116.09,16283175.75,17547335.22,18826043.94,28787309.39
43869,Ohio House Proposal,Defiance City,Defiance,18222756.5,17080116.09,16283175.75,17547335.22,18826043.94,19752107.4
43877,Fair School Funding Plan,Delaware City,Delaware,18515829.12,17880562.71,17995492.97,20789114.62,19352670.76,23214884.22
43877,Ohio House Proposal,Delaware City,Delaware,18515829.12,17880562.71,17995492.97,20789114.62,19352670.76,19254334.22
43885,Ohio House Proposal,Delphos City,Allen,3683996.332,3514570.658,3295984.062,3251415.767,3154495.54,3137843.76
43885,Fair School Funding Plan,Delphos City,Allen,3683996.332,3514570.658,3295984.062,3251415.767,3154495.54,3101359.482
43893,Fair School Funding Plan,Dover City,Tuscarawas,9235969.351,9239905.045,10020586.79,11420786.91,13483038.31,23650862.51
43893,Ohio House Proposal,Dover City,Tuscarawas,9235969.351,9239905.045,10020586.79,11420786.91,13483038.31,14806291.83
47027,Fair School Funding Plan,Dublin City,Franklin,22777454.76,22002399.42,21597405.46,23330941.68,22555155.2,32327697.09
47027,Ohio House Proposal,Dublin City,Franklin,22777454.76,22002399.42,21597405.46,23330941.68,22555155.2,24136653.28
43901,Fair School Funding Plan,East Cleveland City School District,Cuyahoga,32579013.23,31900964.09,29923116.5,28477461.89,28574313.32,28124607.1
43901,Ohio House Proposal,East Cleveland City School District,Cuyahoga,32579013.23,31900964.09,29923116.5,28477461.89,28574313.32,28101802.09
46409,Fair School Funding Plan,East Clinton Local,Clinton,10565108.22,9953978.358,9551564.779,9935305.521,10377270.67,14006612.25
46409,Ohio House Proposal,East Clinton Local,Clinton,10565108.22,9953978.358,9551564.779,9935305.521,10377270.67,10238714.62
69682,Fair School Funding Plan,East Guernsey Local,Guernsey,14672189.04,6747922.045,6569236.111,6151687.239,6231593.58,6550606.454
69682,Ohio House Proposal,East Guernsey Local,Guernsey,14672189.04,6747922.045,6569236.111,6151687.239,6231593.58,6161669.858
47688,Fair School Funding Plan,East Holmes Local,Holmes,12881676.96,6126152.162,5852579.908,5646145.446,5661904.73,6078709.966
47688,Ohio House Proposal,East Holmes Local,Holmes,12881676.96,6126152.162,5852579.908,5646145.446,5661904.73,5629305.212
47845,Fair School Funding Plan,East Knox Local,Knox,4423440.938,3431131.088,3331650.065,3232849.749,3162790.23,3256953.055
47845,Ohio House Proposal,East Knox Local,Knox,4423440.938,3431131.088,3331650.065,3232849.749,3162790.23,3148321.803
43919,Fair School Funding Plan,East Liverpool City,Columbiana,23272583.15,21616529.04,21249158.27,22126258.51,22295808.91,33677939
43919,Ohio House Proposal,East Liverpool City,Columbiana,23272583.15,21616529.04,21249158.27,22126258.51,22295808.91,22311550.77
48835,Fair School Funding Plan,East Muskingum Local,Muskingum,5755685.293,10264343,10059362.8,11111811.4,11976746.97,18167603.75
48835,Ohio House Proposal,East Muskingum Local,Muskingum,5755685.293,10264343,10059362.8,11111811.4,11976746.97,12340463.16
43927,Fair School Funding Plan,East Palestine City,Columbiana,7817154.79,7394650.143,7149326.063,7172653.805,7571906.72,11869308.35
43927,Ohio House Proposal,East Palestine City,Columbiana,7817154.79,7394650.143,7149326.063,7172653.805,7571906.72,8101032.82
48512,Ohio House Proposal,Eastern Local,Meigs,5359493.954,7395261.877,7098070.211,7380149.874,7847023.79,7755682.289
48512,Fair School Funding Plan,Eastern Local,Meigs,5359493.954,7395261.877,7098070.211,7380149.874,7847023.79,7702467.012
49122,Fair School Funding Plan,Eastern Local School District,Pike,8884731.961,10967615.66,10521054.6,10146570.95,10303132.72,13145882.13
49122,Ohio House Proposal,Eastern Local School District,Pike,8884731.961,10967615.66,10521054.6,10146570.95,10303132.72,10381420.43
46037,Fair School Funding Plan,Eastern Local School District,Brown,6968048.825,6269996.092,5883465.278,5675171.877,5414741.22,8912673.772
46037,Ohio House Proposal,Eastern Local School District,Brown,6968048.825,6269996.092,5883465.278,5675171.877,5414741.22,5891174.054
50674,Fair School Funding Plan,Eastwood Local,Wood,3425487.679,6203236.474,5759559.054,5580356.229,5666492.15,5950081.434
50674,Ohio House Proposal,Eastwood Local,Wood,3425487.679,6203236.474,5759559.054,5580356.229,5666492.15,5839724.567
43935,Fair School Funding Plan,Eaton Community City,Preble,9897159.879,9941342.541,9439510.968,9461014.719,7718710.37,8826725.955
43935,Ohio House Proposal,Eaton Community City,Preble,9897159.879,9941342.541,9439510.968,9461014.719,7718710.37,7662140.425
50617,Fair School Funding Plan,Edgerton Local,Williams,8642555.719,4042613.862,3842881.904,3814902.026,4400259.23,6419666.531
50617,Ohio House Proposal,Edgerton Local,Williams,8642555.719,4042613.862,3842881.904,3814902.026,4400259.23,4614018.207
46094,Fair School Funding Plan,Edgewood City School District,Butler,21095213.92,20396084.95,20007842.24,21215692.32,20177191.58,27588416.37
46094,Ohio House Proposal,Edgewood City School District,Butler,21095213.92,20396084.95,20007842.24,21215692.32,20177191.58,19956316.52
47795,Fair School Funding Plan,Edison Local,Jefferson,8908356.717,5782634.675,5631548.362,5496687.374,5494292.4,5987246.191
47795,Ohio House Proposal,Edison Local,Jefferson,8908356.717,5782634.675,5631548.362,5496687.374,5494292.4,5453966.566
46789,Fair School Funding Plan,Edison Local (formerly Berlin-Milan),Erie,5805109.887,5598621.133,5369706.738,5332188.901,5477988.24,7867513.928
46789,Ohio House Proposal,Edison Local (formerly Berlin-Milan),Erie,5805109.887,5598621.133,5369706.738,5332188.901,5477988.24,5440111.434
50625,Fair School Funding Plan,Edon Northwest Local,Williams,4302289.007,3810890.201,4032655.604,4340903.927,4543646.48,6985867.55
50625,Ohio House Proposal,Edon Northwest Local,Williams,4302289.007,3810890.201,4032655.604,4340903.927,4543646.48,4930552.863
48413,Fair School Funding Plan,Elgin Local,Marion,3412046.583,7092967.046,6841201.596,6913477.51,6922281.03,10056443.77
48413,Ohio House Proposal,Elgin Local,Marion,3412046.583,7092967.046,6841201.596,6913477.51,6922281.03,6993419.37
45773,Fair School Funding Plan,Elida Local,Allen,9027026.479,8381163.561,7932665.821,8807980.063,8404199.26,12261262.85
45773,Ohio House Proposal,Elida Local,Allen,9027026.479,8381163.561,7932665.821,8807980.063,8404199.26,8346485.798
50682,Fair School Funding Plan,Elmwood Local,Wood,6632725.865,7754399.706,7491692.164,7198985.91,7161563.2,7424187.067
50682,Ohio House Proposal,Elmwood Local,Wood,6632725.865,7754399.706,7491692.164,7198985.91,7161563.2,7081355.196
43943,Fair School Funding Plan,Elyria City Schools,Lorain,37778230.98,35441131.36,35840749.36,38791981.61,41917414.95,65652803.74
43943,Ohio House Proposal,Elyria City Schools,Lorain,37778230.98,35441131.36,35840749.36,38791981.61,41917414.95,44064290.21
43950,Fair School Funding Plan,Euclid City,Cuyahoga,29752416.85,29545347.62,31390498.77,35775095.95,36484586.02,59966423.49
43950,Ohio House Proposal,Euclid City,Cuyahoga,29752416.85,29545347.62,31390498.77,35775095.95,36484586.02,37334001.61
47050,Fair School Funding Plan,Evergreen Local,Fulton,4956684.352,4769109.59,4644223.489,4628885.183,4421487.81,4697276.234
47050,Ohio House Proposal,Evergreen Local,Fulton,4956684.352,4769109.59,4644223.489,4628885.183,4421487.81,4391858.196
50328,Fair School Funding Plan,Fairbanks Local,Union,5836903.627,3207895.599,3146059.745,3117448.492,3252906.66,3506153.591
50328,Ohio House Proposal,Fairbanks Local,Union,5836903.627,3207895.599,3146059.745,3117448.492,3252906.66,3243936.77
43968,Fair School Funding Plan,Fairborn City,Greene,19786812.59,18374462.75,19593409.39,21141849.02,21676187.7,33313449.39
43968,Ohio House Proposal,Fairborn City,Greene,19786812.59,18374462.75,19593409.39,21141849.02,21676187.7,21643879.15
46102,Fair School Funding Plan,Fairfield City,Butler,38146950.66,37222324.69,36439204.1,40990688.5,39332472.5,56092165.48
46102,Ohio House Proposal,Fairfield City,Butler,38146950.66,37222324.69,36439204.1,40990688.5,39332472.5,39026193.72
47621,Fair School Funding Plan,Fairfield Local,Highland,7335796.479,9389836.317,9009863.735,9115777.491,9045309.74,11988669.26
47621,Ohio House Proposal,Fairfield Local,Highland,7335796.479,9389836.317,9009863.735,9115777.491,9045309.74,9057829.076
46870,Fair School Funding Plan,Fairfield Union Local,Fairfield,12847947.9,12077862.33,11525932.37,12073630.19,13053562.21,18813708.16
46870,Ohio House Proposal,Fairfield Union Local,Fairfield,12847947.9,12077862.33,11525932.37,12073630.19,13053562.21,13188523.35
47936,Fair School Funding Plan,Fairland Local,Lawrence,14103438.6,9094212.6,8638206.274,8435972.13,8701194.79,11362974.1
47936,Ohio House Proposal,Fairland Local,Lawrence,14103438.6,9094212.6,8638206.274,8435972.13,8701194.79,8602049.021
49775,Fair School Funding Plan,Fairlawn Local,Shelby,4681912.831,5024880.479,4822083.333,5187444.604,5150657.35,7371523.584
49775,Ohio House Proposal,Fairlawn Local,Shelby,4681912.831,5024880.479,4822083.333,5187444.604,5150657.35,5338561.394
49841,Ohio House Proposal,Fairless Local,Stark,11165862.54,9131111.43,8775848.77,8440303.953,8402021.42,8307693.987
49841,Fair School Funding Plan,Fairless Local,Stark,11165862.54,9131111.43,8775848.77,8440303.953,8402021.42,8247240.553
45369,Fair School Funding Plan,Fairport Harbor Exempted Village,Lake,4638735.353,4955337.45,5013299.712,5536531.796,5549471.59,8389189.679
45369,Ohio House Proposal,Fairport Harbor Exempted Village,Lake,4638735.353,4955337.45,5013299.712,5536531.796,5549471.59,6065115.952
43976,Fair School Funding Plan,Fairview Park City,Cuyahoga,2797177.305,2727933.877,2635248.698,2575835.906,2629744.32,2757590.971
43976,Ohio House Proposal,Fairview Park City,Cuyahoga,2797177.305,2727933.877,2635248.698,2575835.906,2629744.32,2647793.603
47068,Fair School Funding Plan,Fayette Local,Fulton,3633846.338,3330358.808,3086107.926,3276020.993,3187499.73,4492757.479
47068,Ohio House Proposal,Fayette Local,Fulton,3633846.338,3330358.808,3086107.926,3276020.993,3187499.73,3147870.768
46045,Fair School Funding Plan,Fayetteville-Perry Local,Brown,5465841.439,5312964.454,5076087.291,5385030.603,5444585.99,7333214.199
46045,Ohio House Proposal,Fayetteville-Perry Local,Brown,5465841.439,5312964.454,5076087.291,5385030.603,5444585.99,5489903.703
45914,Fair School Funding Plan,Federal Hocking Local,Athens,9748255.216,9057478.731,8795365.621,8425913.497,8386619.76,11245610.7
45914,Ohio House Proposal,Federal Hocking Local,Athens,9748255.216,9057478.731,8795365.621,8425913.497,8386619.76,8369589.693
46334,Fair School Funding Plan,Felicity-Franklin Local,Clermont,9012675.063,8398231.893,8097812.684,7942249.342,8257274.34,11530016.66
46334,Ohio House Proposal,Felicity-Franklin Local,Clermont,9012675.063,8398231.893,8097812.684,7942249.342,8257274.34,8487078.295
49197,Fair School Funding Plan,Field Local,Portage,11099450.87,6375579.207,6144793.619,5947714.551,5942333.3,6059538.341
49197,Ohio House Proposal,Field Local,Portage,11099450.87,6375579.207,6144793.619,5947714.551,5942333.3,5928035.336
43984,Fair School Funding Plan,Findlay City,Hancock,28044209.59,26574634.09,25734427.47,26521499.29,26381029.75,38274228.54
43984,Ohio House Proposal,Findlay City,Hancock,28044209.59,26574634.09,25734427.47,26521499.29,26381029.75,26131941.07
47332,Fair School Funding Plan,Finneytown Local,Hamilton,9854221.798,7031982.234,6779225.857,6494146.157,6442555.85,6385481.718
47332,Ohio House Proposal,Finneytown Local,Hamilton,9854221.798,7031982.234,6779225.857,6494146.157,6442555.85,6380193.956
48157,Fair School Funding Plan,Firelands Local,Lorain,2702023.791,8915349.035,8670371.095,8542633.567,8382774.94,8559832.474
48157,Ohio House Proposal,Firelands Local,Lorain,2702023.791,8915349.035,8670371.095,8542633.567,8382774.94,8309902.067
47340,Fair School Funding Plan,Forest Hills Local,Hamilton,7422573.063,18879942.62,18270763.45,18004346.64,18177051.63,18894204.85
47340,Ohio House Proposal,Forest Hills Local,Hamilton,7422573.063,18879942.62,18270763.45,18004346.64,18177051.63,18155507.43
50484,Fair School Funding Plan,Fort Frye Local,Washington,5118397.861,4976376.79,4775841.209,5258722.97,5323051.39,9509770.865
50484,Ohio House Proposal,Fort Frye Local,Washington,5118397.861,4976376.79,4775841.209,5258722.97,5323051.39,5961023.321
49783,Fair School Funding Plan,Fort Loramie Local,Shelby,4664177.161,4908251.877,4767700.957,5060874.774,4978558.52,5919444.78
49783,Ohio House Proposal,Fort Loramie Local,Shelby,4664177.161,4908251.877,4767700.957,5060874.774,4978558.52,4919408.064
48595,Fair School Funding Plan,Fort Recovery Local,Mercer,5751791.123,5932051.162,5886006.175,6497189.459,6282787.12,7529341.491
48595,Ohio House Proposal,Fort Recovery Local,Mercer,5751791.123,5932051.162,5886006.175,6497189.459,6282787.12,6211818.234
43992,Fair School Funding Plan,Fostoria City,Seneca,14272583.16,13109149.93,13572005.09,14676266.9,15026796.84,24315218.67
43992,Ohio House Proposal,Fostoria City,Seneca,14272583.16,13109149.93,13572005.09,14676266.9,15026796.84,15347773.06
44008,Fair School Funding Plan,Franklin City,Warren,14176761.48,13936543.41,13282234.91,14601258.91,15620522.46,23476895.6
44008,Ohio House Proposal,Franklin City,Warren,14176761.48,13936543.41,13282234.91,14601258.91,15620522.46,15483285.44
48843,Ohio House Proposal,Franklin Local,Muskingum,10612937.72,13722084.53,13229479.55,12776878.35,12613019.25,12463714.31
48843,Fair School Funding Plan,Franklin Local,Muskingum,10612937.72,13722084.53,13229479.55,12776878.35,12613019.25,12380663.97
46649,Fair School Funding Plan,Franklin Monroe Local,Darke,4205010.16,4220954.744,3846754.975,4038967.686,3988375.29,4953299.768
46649,Ohio House Proposal,Franklin Monroe Local,Darke,4205010.16,4220954.744,3846754.975,4038967.686,3988375.29,3938612.016
47852,Fair School Funding Plan,Fredericktown Local,Knox,2783097.823,7578904.525,7273422.87,7890151.868,7327098.26,8859772.639
47852,Ohio House Proposal,Fredericktown Local,Knox,2783097.823,7578904.525,7273422.87,7890151.868,7327098.26,7246973.99
44016,Fair School Funding Plan,Fremont City,Sandusky,15045837.58,14040647.56,13136359.57,13798332.66,15022199.9,25392952.27
44016,Ohio House Proposal,Fremont City,Sandusky,15045837.58,14040647.56,13136359.57,13798332.66,15022199.9,15853252.48
50492,Fair School Funding Plan,Frontier Local,Washington,5290445.855,5891844.709,5614460.098,6028961.405,6231695.95,9217319.043
50492,Ohio House Proposal,Frontier Local,Washington,5290445.855,5891844.709,5614460.098,6028961.405,6231695.95,6527786.107
46961,Fair School Funding Plan,Gahanna-Jefferson City,Franklin,12771710.53,12670838.8,12735163.09,14619119.94,13947416.33,17098226.74
46961,Ohio House Proposal,Gahanna-Jefferson City,Franklin,12771710.53,12670838.8,12735163.09,14619119.94,13947416.33,16835830.29
44024,Fair School Funding Plan,Galion City,Crawford,14413674.81,13453183.43,13278551.3,13369325.8,14444584.5,20683663.88
44024,Ohio House Proposal,Galion City,Crawford,14413674.81,13453183.43,13278551.3,13369325.8,14444584.5,14598660.75
65680,Fair School Funding Plan,Gallia County Local,Gallia,864177.0708,13803116.7,13327925.72,14261556.35,13481579.31,18620444.36
65680,Ohio House Proposal,Gallia County Local,Gallia,864177.0708,13803116.7,13327925.72,14261556.35,13481579.31,13349514.04
44032,Fair School Funding Plan,Gallipolis City,Gallia,14141823.82,13089486.29,12541726.94,13227886.65,14191475.35,20490263.39
44032,Ohio House Proposal,Gallipolis City,Gallia,14141823.82,13089486.29,12541726.94,13227886.65,14191475.35,14692862.66
50278,Fair School Funding Plan,Garaway Local,Tuscarawas,6864355.511,4890398.92,4669270.426,4595367.037,4559348.37,4813029.386
50278,Ohio House Proposal,Garaway Local,Tuscarawas,6864355.511,4890398.92,4669270.426,4595367.037,4559348.37,4527456.894
44040,Fair School Funding Plan,Garfield Heights City Schools,Cuyahoga,22813473.67,22521916.53,24321081.04,24862386.21,23164426.27,31335580.79
44040,Ohio House Proposal,Garfield Heights City Schools,Cuyahoga,22813473.67,22521916.53,24321081.04,24862386.21,23164426.27,22855700.74
44057,Fair School Funding Plan,Geneva Area City,Ashtabula,13922266.36,13191490.65,12665608.34,12622061.56,12893269.4,18215834.01
44057,Ohio House Proposal,Geneva Area City,Ashtabula,13922266.36,13191490.65,12665608.34,12622061.56,12893269.4,12749439.1
48942,Fair School Funding Plan,Genoa Area Local,Ottawa,1048814.025,7068992.364,6791896.102,6856377.382,6839861.46,9405227.954
48942,Ohio House Proposal,Genoa Area Local,Ottawa,1048814.025,7068992.364,6791896.102,6856377.382,6839861.46,6788582.103
45377,Fair School Funding Plan,Georgetown Exempted Village,Brown,8171935.494,7549074.374,7350510.818,7799930.434,8522357.72,12621353.28
45377,Ohio House Proposal,Georgetown Exempted Village,Brown,8171935.494,7549074.374,7350510.818,7799930.434,8522357.72,9053298.091
45385,Fair School Funding Plan,Gibsonburg Exempted Village,Sandusky,6651412.578,6197566.621,5927520.589,5774717.468,5621288.58,7317854.061
45385,Ohio House Proposal,Gibsonburg Exempted Village,Sandusky,6651412.578,6197566.621,5927520.589,5774717.468,5621288.58,5550170.235
44065,Fair School Funding Plan,Girard City School District,Trumbull,15470252.85,14418308.54,13894879.87,14425647.27,14055588.19,20753466.54
44065,Ohio House Proposal,Girard City School District,Trumbull,15470252.85,14418308.54,13894879.87,14425647.27,14055588.19,14350815.89
46342,Fair School Funding Plan,Goshen Local,Clermont,22595817,20989386.66,20194309.73,20570162.06,21262060.99,29027149.22
46342,Ohio House Proposal,Goshen Local,Clermont,22595817,20989386.66,20194309.73,20570162.06,21262060.99,20994797.15
46193,Fair School Funding Plan,Graham Local,Champaign,11266530.58,10316322.05,9669584.044,9245811.806,8965850.02,9115835.711
46193,Ohio House Proposal,Graham Local,Champaign,11266530.58,10316322.05,9669584.044,9245811.806,8965850.02,8867254.973
45864,Ohio House Proposal,Grand Valley Local,Ashtabula,7506300.594,7023506.885,6699331.683,6465388.227,6403491.58,6324187.787
45864,Fair School Funding Plan,Grand Valley Local,Ashtabula,7506300.594,7023506.885,6699331.683,6465388.227,6403491.58,6285527.351
44073,Ohio House Proposal,Grandview Heights Schools,Franklin,1510995.798,1488445.083,1463351.804,1418902.983,1417201.31,1446303.669
44073,Fair School Funding Plan,Grandview Heights Schools,Franklin,1510995.798,1488445.083,1463351.804,1418902.983,1417201.31,1391093.825
45393,Fair School Funding Plan,Granville Exempted Village,Licking,5906638.927,5514337.018,5476764.521,5433058.573,5055567.21,5251915.391
45393,Ohio House Proposal,Granville Exempted Village,Licking,5906638.927,5514337.018,5476764.521,5433058.573,5055567.21,5081679.313
50013,Fair School Funding Plan,Green Local,Summit,6149995.947,12683685.28,12210079.33,11972278.99,12017814.41,13934562.2
50013,Ohio House Proposal,Green Local,Summit,6149995.947,12683685.28,12210079.33,11972278.99,12017814.41,12138444.01
50559,Fair School Funding Plan,Green Local,Wayne,4501595.744,6872100.613,6583613.273,6488433.126,6293939.54,7636182.758
50559,Ohio House Proposal,Green Local,Wayne,4501595.744,6872100.613,6583613.273,6488433.126,6293939.54,6227949.901
49619,Fair School Funding Plan,Green Local,Scioto,4996564.568,4553136.883,4409316.921,4413616.876,4620491.44,5140647.845
49619,Ohio House Proposal,Green Local,Scioto,4996564.568,4553136.883,4409316.921,4413616.876,4620491.44,4719312.3
47266,Fair School Funding Plan,Greeneview Local,Greene,3431475.778,5971465.977,5611581.581,6308899.653,7068235.26,9000872.533
47266,Ohio House Proposal,Greeneview Local,Greene,3431475.778,5971465.977,5611581.581,6308899.653,7068235.26,7000096.291
45401,Fair School Funding Plan,Greenfield Exempted Village,Highland,18570655.34,17308704.02,16711444.45,17335054.71,18628190.2,26180038.84
45401,Ohio House Proposal,Greenfield Exempted Village,Highland,18570655.34,17308704.02,16711444.45,17335054.71,18628190.2,19328077.67
46235,Fair School Funding Plan,Greenon Local,Clark,5550056.919,5642847.822,5782202.701,6560354.888,6530917.61,10142343.22
46235,Ohio House Proposal,Greenon Local,Clark,5550056.919,5642847.822,5782202.701,6560354.888,6530917.61,6507033.248
44099,Fair School Funding Plan,Greenville City,Darke,13474187.25,12750568.38,12303453.49,13068073.02,12101506.66,15739485.38
44099,Ohio House Proposal,Greenville City,Darke,13474187.25,12750568.38,12303453.49,13068073.02,12101506.66,11987148.71
46979,Fair School Funding Plan,Groveport Madison Local,Franklin,38178447.54,35677911.72,35952166.3,41528922.8,42727314.91,62672284.87
46979,Ohio House Proposal,Groveport Madison Local,Franklin,38178447.54,35677911.72,35952166.3,41528922.8,42727314.91,43047530.31
44107,Fair School Funding Plan,Hamilton City,Butler,88386291.87,81828930.87,82132575.09,84240170.92,83721592.79,123368748.1
44107,Ohio House Proposal,Hamilton City,Butler,88386291.87,81828930.87,82132575.09,84240170.92,83721592.79,83858565.23
